CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CC25-0586,5/5/2025 12:00:00 AM,6/20/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,928 TROVITA DR,CORONA,CA,92881,1,1
CE21-1335,11/23/2021 12:00:00 AM,12/14/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,928 TROVITA DR,CORONA,CA,92881,1,1
CE03-0767,7/28/2003 12:00:00 AM,8/11/2003 12:00:00 AM,CODE ENFORCEMENT,PROP,1103 CIRCLE CITY DR,,,,1,1
CE06-0163,2/24/2006 12:00:00 AM,2/24/2009 12:00:00 AM,CODE ENFORCEMENT,PROP,1103 CIRCLE CITY DR     ,,,,1,1
CE13-0657,6/25/2013 12:00:00 AM,7/3/2013 12:00:00 AM,CODE ENFORCEMENT,,1103 CIRCLE CITY DR ,,,,1,1
CE16-1180,8/23/2016 12:00:00 AM,1/17/2017 12:00:00 AM,CODE ENFORCEMENT,,910 S WASHBURN AV ,,,,1,1
CE15-0355,4/20/2015 12:00:00 AM,6/1/2015 12:00:00 AM,CODE ENFORCEMENT,,1088 JADESTONE LN ,,,,1,1
CC23-1828,12/18/2023 12:00:00 AM,2/5/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,240 SQUIRE PL,CORONA,CA,92879,1,1
CE19-0524,5/6/2019 12:00:00 AM,,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1003 ELMHURST ST,CORONA,CA,92880,1,0
CE08-0053,1/14/2008 12:00:00 AM,2/15/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,902 ASPEN ST     ,,,,1,1
CC24-1125,7/30/2024 12:00:00 AM,8/21/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,167 BRIM ST,CORONA,CA,92881,1,1
CE07-0489,3/26/2007 12:00:00 AM,6/1/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1739 WALDORF DR     ,,,,1,1
CC25-1351,8/23/2025 12:00:00 AM,,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1041 BLOSSOM HILL DR,CORONA,CA,92880,1,0
CE05-0638,8/3/2005 12:00:00 AM,8/9/2005 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1041 BLOSSOM HILL DR     ,,,,1,1
CE14-0854,8/4/2014 12:00:00 AM,5/19/2015 12:00:00 AM,CODE ENFORCEMENT,,1041 BLOSSOM HILL DR ,,,,1,1
CE17-0815,6/19/2017 12:00:00 AM,6/26/2017 12:00:00 AM,CODE ENFORCEMENT,, 1041 BLOSSOM HILL DR,,,,1,1
CE18-0370,3/29/2018 12:00:00 AM,7/10/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1041 BLOSSOM HILL DR,CORONA,CA,92880,1,1
CE01-1077,9/27/2001 12:00:00 AM,10/10/2001 12:00:00 AM,CODE ENFORCEMENT,MULTI,920 W SIXTH ST,,,,1,1
CE06-0718,7/27/2006 12:00:00 AM,4/17/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1603 MARIPOSA DRIVE,,,,1,1
CE04-0799,6/15/2004 12:00:00 AM,11/9/2004 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1603 MARIPOSA DR     ,,,,1,1
CE10-0412,4/5/2010 12:00:00 AM,8/3/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,1603 MARIPOSA DR     ,,,,1,1
CE21-0754,7/7/2021 12:00:00 AM,4/1/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2165 VALOR CIR,CORONA,CA,92882,1,1
CC23-0299,3/9/2023 12:00:00 AM,6/7/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1193 ERICK DR,CORONA,CA,92881,1,1
CE14-1163,10/14/2014 12:00:00 AM,10/29/2014 12:00:00 AM,CODE ENFORCEMENT,,1193 ERICK DR ,,,,1,1
CE16-1159,8/30/2016 12:00:00 AM,3/3/2017 12:00:00 AM,CODE ENFORCEMENT,,1990 MORENO AV ,,,,1,1
CE18-0963,7/5/2018 12:00:00 AM,7/31/2018 12:00:00 AM,CODE ENFORCEMENT,,1990 MORENO AV,,,,1,1
CE19-0967,8/20/2019 12:00:00 AM,1/30/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1990 MORENO AVE,CORONA,CA,92879,1,1
CE05-0484,5/25/2005 12:00:00 AM,6/27/2005 12:00:00 AM,CODE ENFORCEMENT,PROP,381 ADIRONDACK DR     ,,,,1,1
CE13-0340,5/2/2013 12:00:00 AM,,CODE ENFORCEMENT,,381 ADIRONDACK DR     ,,,,1,0
CE12-0748,7/26/2012 12:00:00 AM,4/2/2014 12:00:00 AM,CODE ENFORCEMENT,,381 ADIRONDACK DR     ,,,,1,1
CE19-0706,6/17/2019 12:00:00 AM,7/17/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,381 ADIRONDACK DR,CORONA,CA,92881,1,1
CE99-0210,9/3/1999 12:00:00 AM,9/8/1999 12:00:00 AM,CODE ENFORCEMENT,PROP,368 REDWING DR,,,,1,1
CE99-0259,9/16/1999 12:00:00 AM,9/16/1999 12:00:00 AM,CODE ENFORCEMENT,PROP,368 REDWING DR,,,,1,1
CC25-1691,10/25/2025 12:00:00 AM,,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,936 CORNERSTONE WAY,CORONA,CA,92880,1,0
CC24-0165,1/29/2024 12:00:00 AM,2/8/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,470 N MCKINLEY ST,CORONA,CA,92879,1,1
CC24-0376,3/18/2024 12:00:00 AM,4/17/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,490 HIDDEN VALLEY PY,CORONA,CA,92879,1,1
CC25-1900,12/9/2025 12:00:00 AM,,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,490 HIDDEN VALLEY PY #103,CORONA,CA,92879,1,0
CC25-1064,7/15/2025 12:00:00 AM,9/12/2025 12:00:00 AM,CODE ENFORCEMENT,ILLEGAL USE OF PROPERTY,510 HIDDEN VALLEY PY,CORONA,CA,92879,1,1
CC25-0351,3/22/2025 12:00:00 AM,3/25/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,470 N MCKINLEY ST,CORONA,CA,92879,1,1
CC25-1552,9/30/2025 12:00:00 AM,10/1/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,490 HIDDEN VALLEY PY,CORONA,CA,92879,1,1
CE16-0428,4/6/2016 12:00:00 AM,5/2/2016 12:00:00 AM,CODE ENFORCEMENT,,510 HIDDEN VALLEY PY #101,,,,1,1
CE16-0429,4/6/2016 12:00:00 AM,6/1/2016 12:00:00 AM,CODE ENFORCEMENT,,490 HIDDEN VALLEY PY #103,,,,1,1
CE18-1117,8/7/2018 12:00:00 AM,9/5/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,510 HIDDEN VALLEY PY #101,CORONA,,92879,1,1
CE20-1205,10/22/2020 12:00:00 AM,11/17/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,470 N MCKINLEY ST,CORONA,CA,92879,1,1
CE20-0582,6/13/2020 12:00:00 AM,10/2/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,490 HIDDEN VALLEY PY,CORONA,CA,92879,1,1
CE13-1036,9/23/2013 12:00:00 AM,9/30/2013 12:00:00 AM,CODE ENFORCEMENT,,510 HIDDEN VALLEY PKWY #101,,,,1,1
CE13-1156,10/28/2013 12:00:00 AM,11/12/2013 12:00:00 AM,CODE ENFORCEMENT,,470 N MCKINLEY ST ,,,,1,1
CE15-0116,2/9/2015 12:00:00 AM,3/9/2015 12:00:00 AM,CODE ENFORCEMENT,,470 N MCKINLEY ST ,,,,1,1
CE16-0252,3/10/2016 12:00:00 AM,6/1/2016 12:00:00 AM,CODE ENFORCEMENT,,510 HIDDEN VALLEY PY ,,,,1,1
CE17-0175,3/1/2017 12:00:00 AM,6/20/2017 12:00:00 AM,CODE ENFORCEMENT,,490 HIDDEN VALLEY PY #103,,,,1,1
CE16-1062,8/16/2016 12:00:00 AM,1/31/2017 12:00:00 AM,CODE ENFORCEMENT,,510 HIDDEN VALLEY PY #101,,,,1,1
CE11-0700,7/12/2011 12:00:00 AM,7/28/2011 12:00:00 AM,CODE ENFORCEMENT,SIGN,510 HIDDEN VALLEY PY #103,,,,1,1
CE12-0059,1/23/2012 12:00:00 AM,,CODE ENFORCEMENT,SIGN,470 N MCKINLEY ST     ,,,,1,0
CE13-0907,8/22/2013 12:00:00 AM,10/4/2013 12:00:00 AM,CODE ENFORCEMENT,,510 HIDDEN VALLEY PKWY #103,,,,1,1
CE13-0908,8/21/2013 12:00:00 AM,8/28/2013 12:00:00 AM,CODE ENFORCEMENT,,510 HIDDEN VALLEY PKWY #101,,,,1,1
CE13-0909,8/21/2013 12:00:00 AM,,CODE ENFORCEMENT,,490 HIDDEN VALLEY PKWY #103,,,,1,0
CE13-0973,9/5/2013 12:00:00 AM,10/21/2013 12:00:00 AM,CODE ENFORCEMENT,,470 N MCKINLEY ST ,,,,1,1
CE03-1267,12/9/2003 12:00:00 AM,1/12/2004 12:00:00 AM,CODE ENFORCEMENT,SIGN,490 HIDDEN VALLEY PK,,,,1,1
CE03-1268,12/9/2003 12:00:00 AM,1/9/2004 12:00:00 AM,CODE ENFORCEMENT,SIGN,510 Hidden Valley Pk,,,,1,1
CE07-0705,4/26/2007 12:00:00 AM,5/1/2007 12:00:00 AM,CODE ENFORCEMENT,SIGN,510 HIDDEN VALLEY PK  #105,,,,1,1
CE08-0544,4/11/2008 12:00:00 AM,4/16/2008 12:00:00 AM,CODE ENFORCEMENT,SIGN,470 N MCKINLEY ST     ,,,,1,1
CE11-0065,1/27/2011 12:00:00 AM,3/3/2011 12:00:00 AM,CODE ENFORCEMENT,SIGN,470 N MCKINLEY ST     ,,,,1,1
CE11-0541,5/19/2011 12:00:00 AM,7/28/2011 12:00:00 AM,CODE ENFORCEMENT,USE,510 HIDDEN VALLEY PY #104,,,,1,1
CC24-0053,1/11/2024 12:00:00 AM,3/19/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,814 PINE ST,CORONA,CA,92879,1,1
CC24-1035,7/22/2024 12:00:00 AM,5/20/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,875 W MONTEREY RD,CORONA,CA,92882,1,1
CE02-1454,12/11/2002 12:00:00 AM,12/18/2002 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1244 CIRCLE CITY DR #A,CORONA,CA,92879,1,1
CE01-0858,9/1/2001 12:00:00 AM,9/19/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,1190 KRAEMER DR,,,,1,1
CE05-0438,4/26/2005 12:00:00 AM,8/11/2005 12:00:00 AM,CODE ENFORCEMENT,PROP,1244 CIRCLE CITY DR     ,,,,1,1
CE06-1269,12/11/2006 12:00:00 AM,12/12/2006 12:00:00 AM,CODE ENFORCEMENT,PROP,1244 CIRCLE CITY DR     ,,,,1,1
CE15-0538,6/8/2015 12:00:00 AM,8/15/2016 12:00:00 AM,CODE ENFORCEMENT,,1190 KRAEMER DR ,,,,1,1
CE17-0449,4/13/2017 12:00:00 AM,5/23/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,211 W RANCHO RD,CORONA,CA,92882,1,1
CE21-0723,6/23/2021 12:00:00 AM,6/29/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1244 CIRCLE CITY DR,CORONA,CA,92879,1,1
CE99-0468,12/27/1999 12:00:00 AM,12/28/1999 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1244 CIRCLE CITY DR A,,,,1,1
CE22-1594,11/5/2022 12:00:00 AM,11/5/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,435 GAY ST,CORONA,CA,9279,1,1
CE09-1408,10/28/2009 12:00:00 AM,2/7/2011 12:00:00 AM,CODE ENFORCEMENT,MULTI,814 1/2 PINE ST,,,,1,1
CE10-0322,3/16/2010 12:00:00 AM,3/30/2011 12:00:00 AM,CODE ENFORCEMENT,PROP,875 W MONTEREY RD     ,,,,1,1
CE10-0382,3/29/2010 12:00:00 AM,9/13/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,1190 KRAEMER DR     ,,,,1,1
CE13-1045,9/23/2013 12:00:00 AM,12/23/2013 12:00:00 AM,CODE ENFORCEMENT,,814 PINE ST ,,,,1,1
CE15-0089,2/5/2015 12:00:00 AM,6/24/2015 12:00:00 AM,CODE ENFORCEMENT,,211 W RANCHO RD ,,,,1,1
CE16-0261,3/2/2016 12:00:00 AM,6/23/2016 12:00:00 AM,CODE ENFORCEMENT,,814 PINE ST ,,,,1,1
CE08-0530,4/12/2008 12:00:00 AM,4/26/2008 12:00:00 AM,CODE ENFORCEMENT,SIGN,1121 CALIFORNIA AV     ,,,,1,1
CE08-1352,9/19/2008 12:00:00 AM,12/16/2008 12:00:00 AM,CODE ENFORCEMENT,BUS_LIC,1121 CALIFORNIA AV     ,,,,1,1
CE16-0948,7/7/2016 12:00:00 AM,8/22/2016 12:00:00 AM,CODE ENFORCEMENT,,2632 HUDSON AV ,,,,1,1
CE22-0586,5/4/2022 12:00:00 AM,5/22/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2632 HUDSON AVE,CORONA,CA,92881,1,1
CE08-0300,3/7/2008 12:00:00 AM,3/25/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,3026 MIRA VISTA WY     ,,,,1,1
CE08-1190,8/25/2008 12:00:00 AM,3/11/2009 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,3026 MIRA VISTA WY     ,,,,1,1
CE09-0505,4/23/2009 12:00:00 AM,10/28/2009 12:00:00 AM,CODE ENFORCEMENT,MULTI,3026 MIRA VISTA WY     ,,,,1,1
CE15-0644,7/7/2015 12:00:00 AM,11/25/2015 12:00:00 AM,CODE ENFORCEMENT,,3026 MIRA VISTA WY ,,,,1,1
CE17-0539,4/18/2017 12:00:00 AM,5/15/2017 12:00:00 AM,CODE ENFORCEMENT,,3026 MIRA VISTA WY ,,,,1,1
CE16-1467,10/19/2016 12:00:00 AM,3/16/2017 12:00:00 AM,CODE ENFORCEMENT,,3026 MIRA VISTA WY ,,,,1,1
CE20-0728,7/27/2020 12:00:00 AM,7/28/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3026 MIRA VISTA WAY,CORONA,CA,92881,1,1
CE11-0448,5/3/2011 12:00:00 AM,6/27/2011 12:00:00 AM,CODE ENFORCEMENT,AVA,4332 CANTADA DR     ,,,,1,1
CE18-1715,12/17/2018 12:00:00 AM,1/22/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1656 S BUENA VISTA AV,CORONA,CA,92882,1,1
CE01-1486,12/28/2001 12:00:00 AM,1/17/2002 12:00:00 AM,CODE ENFORCEMENT,PROP,433 W EIGHTH ST,,,,1,1
CE03-0305,4/4/2003 12:00:00 AM,4/24/2003 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1801 TAYLOR AV,,,,1,1
CE08-1377,9/26/2008 12:00:00 AM,10/18/2008 12:00:00 AM,CODE ENFORCEMENT,SIGN,1223 S MAIN ST     ,,,,1,1
CE13-0301,4/25/2013 12:00:00 AM,7/15/2013 12:00:00 AM,CODE ENFORCEMENT,,433 W EIGHTH ST     ,,,,1,1
CE15-0057,1/26/2015 12:00:00 AM,5/18/2015 12:00:00 AM,CODE ENFORCEMENT,,1223 S MAIN ST ,,,,1,1
CE16-1252,8/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,CODE ENFORCEMENT,,1223 S MAIN ST ,,,,1,1
CE21-1013,8/30/2021 12:00:00 AM,11/15/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,433 W EIGHTH ST 2,CORONA,CA,92882,1,1
CE07-0310,2/23/2007 12:00:00 AM,5/16/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1108 WASHBURN AV,,,,1,1
CC25-0249,2/28/2025 12:00:00 AM,3/24/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1315 VALLEJO DR,CORONA,CA,92882,1,1
CE01-0007,1/5/2001 12:00:00 AM,1/8/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,511 COOLIDGE CI,,,,1,1
CE03-0413,5/5/2003 12:00:00 AM,5/9/2003 12:00:00 AM,CODE ENFORCEMENT,PROP,1315 VALLEJO DR,,,,1,1
CE04-0742,6/3/2004 12:00:00 AM,6/22/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,511 COOLIDGE CI     ,,,,1,1
CE13-1134,10/16/2013 12:00:00 AM,3/13/2014 12:00:00 AM,CODE ENFORCEMENT,,340 N GARFIELD AV ,,,,1,1
CE06-0165,2/27/2006 12:00:00 AM,3/10/2006 12:00:00 AM,CODE ENFORCEMENT,PROP,2462 PEACOCK LN     ,,,,1,1
CE09-0154,2/17/2009 12:00:00 AM,2/26/2009 12:00:00 AM,CODE ENFORCEMENT,PROP,4648 FEATHER RIVER RD     ,,,,1,1
CE12-0877,8/23/2012 12:00:00 AM,11/29/2012 12:00:00 AM,CODE ENFORCEMENT,,1118 COUNTRY CLUB LN     ,,,,1,1
CE12-0164,2/27/2012 12:00:00 AM,4/11/2012 12:00:00 AM,CODE ENFORCEMENT,,2948 SONRISA DR     ,,,,1,1
CE19-0961,8/19/2019 12:00:00 AM,8/20/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2948 SONRISA DR,CORONA,CA,92881,1,1
CE21-0727,6/23/2021 12:00:00 AM,6/29/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2948 SONRISA DR,CORONA,CA,92881,1,1
CE16-1303,8/22/2016 12:00:00 AM,8/9/2017 12:00:00 AM,CODE ENFORCEMENT,,1230 QUARRY ST ,,,,1,1
CC23-0124,2/2/2023 12:00:00 AM,2/16/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,688 DONATELLO DR,CORONA,CA,92882,1,1
CE07-0625,4/12/2007 12:00:00 AM,8/24/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,688 DONATELLO DR     ,,,,1,1
CE03-0097,2/7/2003 12:00:00 AM,2/14/2003 12:00:00 AM,CODE ENFORCEMENT,PROP,1068 OTHELLO LN,,,,1,1
CE08-0346,3/14/2008 12:00:00 AM,9/10/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,1165 CANYON WOODS DR     ,,,,1,1
CE10-0654,6/1/2010 12:00:00 AM,1/3/2011 12:00:00 AM,CODE ENFORCEMENT,SIGN,1780 POMONA RD     ,,,,1,1
CE22-0986,6/30/2022 12:00:00 AM,7/15/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1780 POMONA RD,CORONA,CA,92880,1,1
CE99-0120,7/29/1999 12:00:00 AM,1/11/2000 12:00:00 AM,CODE ENFORCEMENT,SIGN,1780 POMONA RINCON RD,,,,1,1
CE08-0625,4/5/2008 12:00:00 AM,6/10/2008 12:00:00 AM,CODE ENFORCEMENT,DEVEL,2114 SAWGRASS CREEK LN     ,,,,1,1
CC23-0125,2/2/2023 12:00:00 AM,8/4/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CC24-0404,3/24/2024 12:00:00 AM,4/8/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CC23-1815,12/14/2023 12:00:00 AM,7/10/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CC25-0288,3/8/2025 12:00:00 AM,3/8/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CC24-1568,10/2/2024 12:00:00 AM,10/2/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CC24-1581,10/5/2024 12:00:00 AM,10/5/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CE20-0174,2/20/2020 12:00:00 AM,3/3/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CE21-0969,8/24/2021 12:00:00 AM,9/2/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CE21-1117,9/21/2021 12:00:00 AM,3/23/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2890 AMBER DR,CORONA,CA,92882,1,1
CE22-1046,7/12/2022 12:00:00 AM,2/2/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CE21-0844,7/26/2021 12:00:00 AM,8/17/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CE99-0404,11/19/1999 12:00:00 AM,11/29/1999 12:00:00 AM,CODE ENFORCEMENT,PROP,479 N MCKINLEY ST,,,,1,1
CE04-0194,2/22/2004 12:00:00 AM,3/6/2004 12:00:00 AM,CODE ENFORCEMENT,SIGN,479 N MCKINLEY ST     ,,,,1,1
CE07-0007,12/29/2006 12:00:00 AM,1/3/2007 12:00:00 AM,CODE ENFORCEMENT,USE,479 N MCKINLEY ST     ,,,,1,1
CE09-0338,4/1/2009 12:00:00 AM,10/28/2009 12:00:00 AM,CODE ENFORCEMENT,USE,479 N MCKINLEY ST     ,,,,1,1
CE17-0007,1/4/2017 12:00:00 AM,2/8/2017 12:00:00 AM,CODE ENFORCEMENT,,479 N MCKINLEY ST ,,,,1,1
CE18-0297,3/13/2018 12:00:00 AM,6/11/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CE20-0933,8/25/2020 12:00:00 AM,1/20/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CC25-0938,6/25/2025 12:00:00 AM,8/21/2025 12:00:00 AM,CODE ENFORCEMENT,PROPERTY MAINTENANCE,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CC24-1181,8/3/2024 12:00:00 AM,8/3/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,479 N MCKINLEY ST,CORONA,CA,92879,1,1
CE01-1172,10/23/2001 12:00:00 AM,10/19/2001 12:00:00 AM,CODE ENFORCEMENT,MULTI,479 N MCKINLEY ST,,,,1,1
CE01-0638,7/25/2001 12:00:00 AM,8/9/2001 12:00:00 AM,CODE ENFORCEMENT,USE,479 N MCKINLEY ST,,,,1,1
CE02-0669,6/7/2002 12:00:00 AM,7/5/2002 12:00:00 AM,CODE ENFORCEMENT,PROP,2890 AMBER DR,,,,1,1
CE03-0862,8/21/2003 12:00:00 AM,9/8/2003 12:00:00 AM,CODE ENFORCEMENT,SIGN,479 N MCKINLEY ST,,,,1,1
CC23-0534,4/20/2023 12:00:00 AM,1/9/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1068 SHADOW CREST CIR,CORONA,CA,92881,1,1
CE06-1158,10/16/2006 12:00:00 AM,12/19/2006 12:00:00 AM,CODE ENFORCEMENT,PROP,1037 YARDLEY WY     ,,,,1,1
CE07-1688,10/8/2007 12:00:00 AM,10/24/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1068 SHADOW CREST CI     ,,,,1,1
CE10-1259,12/29/2010 12:00:00 AM,7/11/2011 12:00:00 AM,CODE ENFORCEMENT,PROP,1868 FIR ST     ,,,,1,1
CE19-1367,11/6/2019 12:00:00 AM,3/27/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1068 SHADOW CREST CIR,CORONA,CA,92881,1,1
CE21-1091,9/15/2021 12:00:00 AM,11/5/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1068 SHADOW CREST CIR,CORONA,CA,92881,1,1
CE99-1213,9/7/2000 12:00:00 AM,3/30/2001 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1868 FIR ST,,,,1,1
CC25-1098,7/19/2025 12:00:00 AM,11/2/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,421 E FIFTH ST,CORONA,CA,92879,1,1
CE02-0001,1/2/2002 12:00:00 AM,11/25/2002 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,3284 STERLING DR,,,,1,1
CE08-0566,4/18/2008 12:00:00 AM,4/22/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,116 N VICENTIA AV     ,,,,1,1
CE14-0522,6/9/2014 12:00:00 AM,11/13/2014 12:00:00 AM,CODE ENFORCEMENT,,421 E FIFTH ST ,,,,1,1
CE16-0617,5/26/2016 12:00:00 AM,9/10/2016 12:00:00 AM,CODE ENFORCEMENT,,417 E FIFTH,,,,1,1
CE17-0110,2/3/2017 12:00:00 AM,8/15/2017 12:00:00 AM,CODE ENFORCEMENT,,421 E FIFTH ST ,,,,1,1
CE16-0919,7/18/2016 12:00:00 AM,11/21/2016 12:00:00 AM,CODE ENFORCEMENT,,116 N VICENTIA AV ,,,,1,1
CE22-0129,2/14/2022 12:00:00 AM,4/1/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,116 N VICENTIA AVE,CORONA,CA,92882,1,1
CC23-0593,4/28/2023 12:00:00 AM,5/8/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,NEXT TO 2425 GARRETSON,CORONA,CA,0,1,1
CE05-0473,5/17/2005 12:00:00 AM,6/2/2005 12:00:00 AM,CODE ENFORCEMENT,PROP,1343 PERA ST     ,,,,1,1
CE10-0079,1/22/2010 12:00:00 AM,1/25/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,1343 PERA ST     ,,,,1,1
CE14-0650,6/27/2014 12:00:00 AM,6/27/2014 12:00:00 AM,CODE ENFORCEMENT,,1048 CIRCLE CITY DR ,,,,1,1
CE14-0671,6/27/2014 12:00:00 AM,9/2/2014 12:00:00 AM,CODE ENFORCEMENT,,1048 CIRCLE CITY DR ,,,,1,1
CE16-0728,6/14/2016 12:00:00 AM,6/22/2016 12:00:00 AM,CODE ENFORCEMENT,,VACANT LOT ON GARRETSON,,,,1,1
CE22-0974,6/29/2022 12:00:00 AM,5/26/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,GARRETSON AV AND SANTANA WY VACANT LOT,CORONA,CA,0,1,1
CC23-1327,8/31/2023 12:00:00 AM,9/28/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2790 BUCKINGHAM WAY,CORONA,CA,92879,1,1
