CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CE99-0312,10/15/1999 12:00:00 AM,10/15/1999 12:00:00 AM,CODE ENFORCEMENT,USE,200 RUGBY CT,,,,1,1
CC24-0994,7/18/2024 12:00:00 AM,9/11/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2217 S LINCOLN AVE,CORONA,CA,92882,1,1
CC24-1183,8/5/2024 12:00:00 AM,8/5/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1435 CIRCLE CITY DR,CORONA,CA,92879,1,1
CE04-0264,3/8/2004 12:00:00 AM,4/28/2004 12:00:00 AM,CODE ENFORCEMENT,MULTI,313 W OLIVE ST     ,,,,1,1
CE12-1016,10/2/2012 12:00:00 AM,12/12/2012 12:00:00 AM,CODE ENFORCEMENT,,313 W OLIVE ST     ,,,,1,1
CE11-0651,6/27/2011 12:00:00 AM,7/21/2011 12:00:00 AM,CODE ENFORCEMENT,MISC,313 W OLIVE ST     ,,,,1,1
CE15-0460,5/6/2015 12:00:00 AM,10/19/2015 12:00:00 AM,CODE ENFORCEMENT,,313 W OLIVE ST ,,,,1,1
CE14-0708,7/8/2014 12:00:00 AM,9/8/2014 12:00:00 AM,CODE ENFORCEMENT,,313 W OLIVE ST ,,,,1,1
CE16-0039,1/7/2016 12:00:00 AM,7/28/2016 12:00:00 AM,CODE ENFORCEMENT,,1435 CIRCLE CITY DR ,,,,1,1
CE18-1241,9/4/2018 12:00:00 AM,10/8/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1435 CIRCLE CITY CI 999,CORONA,,92879,1,1
CE19-1041,9/3/2019 12:00:00 AM,9/17/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,313 W OLIVE ST,CORONA,CA,92882,1,1
CC23-0047,1/18/2023 12:00:00 AM,2/2/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1341 HEARTHSIDE DR,CORONA,CA,92882,1,1
CE06-0012,1/3/2006 12:00:00 AM,1/11/2006 12:00:00 AM,CODE ENFORCEMENT,PROP,225 PUEBLO RD     ,,,,1,1
CE22-1519,10/13/2022 12:00:00 AM,10/24/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1341 HEARTHSIDE DR,CORONA,CA,92882,1,1
CE01-0417,6/5/2001 12:00:00 AM,6/27/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,2009 GARRETSON AV,,,,1,1
CE14-0763,7/29/2014 12:00:00 AM,1/30/2015 12:00:00 AM,CODE ENFORCEMENT,,2009 GARRETSON AV ,,,,1,1
CE16-1012,8/11/2016 12:00:00 AM,8/29/2016 12:00:00 AM,CODE ENFORCEMENT,,2009 GARRETSON AV ,,,,1,1
